Harry Potter Collection (1-7),Books,52.99,25.99,100
Nutribullet,Kitchen & Dining,99.99,49.99,102
Iphone 8,Electronics,899.99,458.99,10
Abear Diaper Bag Backpack Waterproof Large Capacity,Baby,34.69,15.48,25
InnoGear 500ml Aromatherapy Diffuser,Beauty & Health,27.99,20,56
"Black & Decker GCO1200C 12-Volt Cordless Drill with Over Molds, Orange and Black",Home Improvement,39.99,22.99,12
Dolce Vita Womens Berlyn Sandals,Women : Shoes,52.99,25.65,2
K-Cups Mocha Caramel 16-pk,Grocery,32.99,15,17
Stevia 400 packets,Grocery,14.99,7,5
Nike Running-Pro,Men : Shoes,99.99,49.99,74
Water 16oz - 48pk,Grocery,9.99,4,10
Samsung Galaxy 9,Electronics,899.99,458.99,8
Mac Perm-Lipstick,Beauty & Health,48.99,24.99,74
